no,candidate,constituency,party,cases,education,total_assets,liabilities
78,Aizaz Ahmad,THAKURDWARA,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,1131294,0
79,Ajaj Ahamad,BHOJPUR,IND,0,Graduate,1043905,0
80,Ajay,BARA (SC),SP,0,Graduate,27966513,0
81,Ajay,SAGRI,IND,0,Post Graduate,161000,0
82,Ajay Govind Rao,KHADDA,SHS,0,12th Pass,771106,0
83,Ajay Gupta,SHIVPUR,RPI(A),0,8th Pass,133000,0
84,Ajay Kapoor,KIDWAI NAGAR,INC,1,Graduate,313990086,91529107
85,Ajay Kumar,SAMBHAL,IND,0,12th Pass,21600000,500000
86,Ajay Kumar,KHURJA (SC),Rashtravadi Pratap Sena,0,12th Pass,617000,0
87,Ajay Kumar,SORAON (SC),IND,5,12th Pass,845000,0
88,Ajay Kumar,BHONGAON,Voters Party International,0,Graduate,868000,0
89,Ajay Kumar,ALLAHABAD NORTH,RPI(A),0,Graduate,1321038,0
90,Ajay Kumar,KARACHHANA,IND,0,Literate,120000,0
91,Ajay Kumar,ASMOLI,IND,0,Not Given,17055000,0
92,Ajay Kumar,FIROZABAD,Jan Adhikar Manch,0,10th Pass,790000,0
93,Ajay Kumar,KASGANJ,BSP,0,12th Pass,378031808,1255410
94,Ajay Kumar,DHANGHATA (SC),IND,0,10th Pass,371496,0
95,Ajay Kumar,BARHAPUR,Gareeb Kranti Part,0,8th Pass,1462500,0
96,Ajay Kumar,SITAPUR,IND,0,Graduate,2722000,0
97,Ajay Kumar,HARRAIYA,BJP,1,Post Graduate,74210574,6500000
98,Ajay Kumar,MENHDAWAL,IND,0,12th Pass,1613000,0
99,Ajay Kumar,GORAKHPUR URBAN,Sarvodaya Bharat Party,0,Graduate,7607164,400000
100,Ajay Kumar,PADRAUNA,IND,4,Post Graduate,1863000,0
101,Ajay Kumar,PANIYRA,Lok Dal,0,Graduate,305000,0
102,Ajay Kumar,MIRZAPUR,IND,0,8th Pass,61000,0
103,Ajay Kumar Lallu,TAMKUHI RAJ,INC,16,Post Graduate,329072,557722
104,Ajay Kumar Sharma,RASARA,IND,0,Graduate Professional,1509408,0
105,Ajay Kumar Singh,VARANASI CANTT.,Samajwadi Janata Party (ChandraShekhar),0,Post Graduate,66691,0
106,Ajay Kumar Srivastava,LUCKNOW NORTH,BSP,1,Graduate,29154962,3612567
107,Ajay Pal Singh,UNCHAHAR,INC,1,Graduate,238377151,44900305
108,Ajay Pal Singh,MURADNAGAR,RLD,3,12th Pass,85990212,3790000
109,Ajay Prakash,MISRIKH (SC),Bharatiya Subhash Sena,0,12th Pass,675000,0
110,Ajay Pratap Singh,SAWAYAZPUR,IND,0,Post Graduate,1424825,0
111,Ajay Pratap Singh,COLONELGANJ,BJP,1,12th Pass,490562192,15000000
112,Ajay Pratap Singh,KATEHARI,Nirbal Indian Shoshit Hamara Aam Dal,11,Post Graduate,4145968,200000
113,Ajay Pushpa Rawat,MOHANLALGANJ (SC),IND,0,Graduate,8818753,0
114,Ajay Rai,PINDRA,INC,0,Graduate,11141579,0
115,Ajay Rav,HATA,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,11405000,0
116,Ajay Shankar Dubey,MUNGRA BADSHAHPUR,INC,0,Post Graduate,42049447,3811766
117,Ajay Singh,MARIHAN,IND,0,5th Pass,483000,0
118,Ajay Singh Bhadoriya,BHOGNIPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,25541500,8110000
119,Ajeet,GUNNAUR,IND,0,Not Given,157000,0
120,Ajeet Kumar,GUNNAUR,BJP,0,12th Pass,17534467,0
121,Ajeet Kumar,BAKSHI KAA TALAB,IND,0,10th Pass,2597200,0
122,Ajeet Kumar Patel,KARACHHANA,IND,0,12th Pass,1785000,0
123,Ajeet Pratap Kushwaha,JANGIPUR,Jan Adhikar Manch,0,Graduate Professional,9307539,915618
124,Ajeet Pratap Singh,BAHARAICH,BSP,2,Post Graduate,67385538,8612949
125,Ajimullah,FAZILNAGAR,Peace Party,0,Post Graduate,6071717,384692
126,Ajit,CHUNAR,Moulik Adhikar Party,0,12th Pass,220700,0
127,Ajit Kumar,RATH (SC),Jan Adhikar Party,0,Post Graduate,2530600,0
128,Ajit Kumar Pandey,SIKANDERPUR,RLD,0,Graduate,454000,0
129,Ajit Pal Tyagi,MURADNAGAR,BJP,0,Graduate Professional,58849760,3100000
130,Ajoy Mukharjee,VARANASI CANTT.,CPI,0,Graduate Professional,3761446,0
131,Akbar Husain,KUNDARKI,BSP,0,10th Pass,63358239,4175536
132,Akhand,ATRAULIYA,BSP,14,12th Pass,9191600,250000
133,Akhilesh,BHADOHI,RLD,1,Doctorate,7522760,0
134,Akhilesh,AZAMGARH,BJP,1,Graduate,55635290,5013851
135,Akhilesh,SEVAPURI,Lok Dal,0,Graduate,7742967,0
136,Akhilesh,KISHNI (SC),IND,0,Not Given,31000,0
137,Akhilesh Kumar,KORAON (SC),Bhartiya Shakti Chetna Party,0,Graduate,192461,0
138,Akhilesh Kumar,AYODHYA,CPI(ML)(L),1,Graduate,387103,417991
139,Akhilesh Kumar,GHAZIABAD,IND,0,Graduate Professional,1815000,0
140,Akhilesh Kumar,MANIKPUR,Rastriya Aam Jan Seva Party,0,10th Pass,239500,0
141,Akhilesh Kumar Singh,LUCKNOW EAST,AIFB,0,Post Graduate,1481137,387778
142,Akhilesh Kumar Tiwari,MUNGRA BADSHAHPUR,IND,4,Graduate,89000,0
143,Akhilesh Pratap Singh,RUDRAPUR,INC,0,Post Graduate,24209418,3532580
144,Akhilesh Yadav,MUBARAKPUR,SP,1,12th Pass,2090843,0
145,Akhtar,CAIMPIYARGANJ,IND,0,12th Pass,395000,0
146,Akila Begum,GHAZIABAD,Bharatiya Janvadi Party,0,5th Pass,2970000,0
147,Akram Husain,MENHDAWAL,RLD,1,8th Pass,53354546,0
148,Akshayvaralal,BALHA (SC),BJP,0,10th Pass,36787797,3449826
149,Alambadi,NIZAMABAD,SP,0,12th Pass,4004435,0
150,Alauddin,GAINSARI,BSP,1,8th Pass,22180166,2588553
151,Alauddin,KHALILABAD,Samaj Seva Party,0,12th Pass,2074000,0
152,Alekshendra Kant Singh,BHINGA,BJP,0,12th Pass,41035969,0
153,Algoo Prasad,DHANGHATA (SC),SP,1,12th Pass,11370329,0
154,Ali Ahmad,SHOHRATGARH,All India Majlis-E-Ittehadul Muslimeen,2,Graduate,2920000,0
155,Ali Akbar,MAHASI,INC,0,Graduate,4983307,0
156,Ali Yusuf Ali,CHAMRAUA,BSP,14,10th Pass,36377573,1000000
157,Alka Rai,MOHAMMADABAD,BJP,0,12th Pass,51411096,661808
158,Alok,MAHARAJGANJ (SC),INC,0,Graduate,35989982,2900000
159,Alok Dwivedi,BIKAPUR,RLD,0,Post Graduate,3218254,268409
160,Alok Kumar,AGRA SOUTH,IND,0,Doctorate,2799000,250000
161,Alok Kumar,BHONGAON,SP,0,Graduate,28936759,0
162,Alok Kumar,AURAIYA (SC),Jan Adhikar Manch,0,Graduate Professional,1522565,0
163,Altaf Ansari,MAU,SP,1,10th Pass,4532436,35000
164,Aman Akhtar,VARANASI NORTH,CPI(M),0,Graduate,45000,20000
165,Aman Mani Tripathi,NAUTANWA,IND,2,Graduate,15354264,1052667
166,Amar Kumar Raizada,LUCKNOW NORTH,Akhil Bharatiya Jan Sangh,0,Post Graduate,37135000,800000
167,Amar Nath,UNCHAHAR,IND,0,8th Pass,90000,0
168,Amar Nath,AJAGARA (SC),NCP,0,12th Pass,760000,0
169,Amar Singh,DUDDHI (ST),Bhartiya Rashtriya Jansatta,0,12th Pass,534000,14000
170,Amar Singh,SHOHRATGARH,Apna Dal (Soneylal),1,12th Pass,23256353,0
171,Amar Singh,CHAURI-CHAURA,Bahujan Mukti Party,0,Graduate,1014250,0
172,Amar Singh,ETAWAH,CPI(M),0,12th Pass,2277540,0
173,Amar Singh,KATRA BAZAR,IND,3,10th Pass,8278000,2400000
174,Amar Singh,KURSI,RLD,0,10th Pass,31047742,517434
175,Amar Singh,GARAUTHA,Vaicharik Kranti Party,0,12th Pass,5936573,0
176,Amar Singh,RAM NAGAR,Rashtravyapi Janta Party,0,Graduate,100000,0
177,Amar Singh,KAIMGANJ (SC),BJP,0,10th Pass,2664630,0
178,Amar Singh,CHANDPUR,CPI(M),0,Post Graduate,3630000,0
179,Amar Singh Urf Sanjay Tomar,ETAWAH,Vikas Party,0,Not Given,8619000,40000
