no,candidate,constituency,party,cases,education,total_assets,liabilities
1220,Gopal,BAIRIA,Bahujan Mukti Party,0,Post Graduate,3032000,0
1221,Gopal Nishad,SAGRI,IND,11,Graduate Professional,134000,0
1222,Gopal Singh,BEHAT,IND,0,10th Pass,102925,0
1223,Gopal Singh,SIRATHU,RLD,0,Graduate,1405000,0
1224,Gopal Swaroop,MADHAUGARH,Kisan Majdoor Berojgar Sangh,0,Post Graduate,2080850,0
1225,Gorakh,BELTHARA ROAD (SC),SP,1,12th Pass,11168845,591654
1226,Gorakh Nath,MILKIPUR (SC),BJP,3,Graduate,5994375,370590
1227,Gorakh Singh,CAIMPIYARGANJ,RLD,2,Graduate,51130079,1519300
1228,Govardhan,MAHADEWA (SC),Nirbal Indian Shoshit Hamara Aam Dal,0,8th Pass,10015477,600000
1229,Govind Kumar,SADAR,IND,0,12th Pass,1173000,300000
1230,Govind Lal,MUGHALSARAI,Bahujan Mukti Party,0,Literate,112000,0
1231,Govind Prasad,BALHA (SC),Rashtriya Kranti Party,0,Graduate,540000,0
1232,Grish Chandra,JAHANABAD,Bharatiya Subhash Sena,0,8th Pass,5585000,0
1233,Grish Kumar,KISHNI (SC),RLD,0,12th Pass,14450000,0
1234,Guddu,PATHARDEVA,IND,0,8th Pass,281700,0
1235,Gulab,GORAKHPUR RURAL,RLD,0,12th Pass,2523000,0
1236,Gulab,AURAI (SC),Pragatisheel Manav Samaj Party,0,Post Graduate,301000,0
1237,Gulab Ahamad,LUCKNOW WEST,Bhagidari Kranti Dal,0,Literate,6652628,0
1238,Gulab Chand,MARIYAHU,SHS,0,12th Pass,90487813,12109257
1239,Gulab Chandra,BANDA,Bhartiya Shakti Chetna Part,0,12th Pass,711944,0
1240,Gulab Devi,CHANDAUSI (SC),BJP,0,Post Graduate,4097000,2000000
1241,Gulab Singh,GONDA,IND,0,12th Pass,7679672,0
1242,Gulab Singh,GARAUTHA,RLD,0,12th Pass,37762,0
1243,Gulam Mohammad,SIWALKHAS,SP,0,Post Graduate,22912312,7294153
1244,Gulam Mustafa,RAM NAGAR,IND,0,Post Graduate,5696384,500000
1245,Gulistan Khan,BANGERMAU,Peace Party,0,12th Pass,60000,0
1246,Gulzar Ahmad,ALIGARH,Peace Party,0,5th Pass,60300,0
1247,Gunakar Pandey,PATTI,Lok Dal,0,Graduate Professional,563000,0
1248,Gur Bachan Lal,POWAYAN (SC),BSP,0,Post Graduate,39244838,612640
1249,Gurdayal,DADRAUL,Bharatiya Subhash Sena,0,8th Pass,986500,0
1250,Guroovindar Singh,IGLAS (SC),INC,0,8th Pass,1370200,0
1251,Gurpreet Singh,DADRAUL,IND,0,Graduate,3595000,115000
1252,Guru Prasad,BACHHRAWAN (SC),IND,0,Literate,2910714,0
1253,Guru Prasad,BALHA (SC),IND,0,12th Pass,2343000,0
1254,Gurudev Singh,ALIGANJ,IND,0,10th Pass,3950000,0
1255,Gutiyari Lal Dubesh,AGRA CANTT. (SC),BSP,0,8th Pass,54117613,12304057
1256,Gyadeen,GARAUTHA,IND,0,10th Pass,1922347,0
1257,Gyan Chand Verma,UTRAULA,Yuva Vikas Party,0,Graduate,121000,0
1258,Gyan Prakash Pandey,MIRZAPUR,IND,0,Graduate,7000,0
1259,Gyan Sagar Gupta,MOHMOODABAD,IND,0,8th Pass,160000,0
1260,Gyan Tiwari,SEVATA,BJP,0,Graduate,55373102,12489981
1261,Gyanedra,AURAI (SC),Gondvana Gantantra Party,0,Post Graduate,1050000,0
1262,Gyanendra,PANIYRA,BJP,0,10th Pass,8862485,800000
1263,Gyanendra,AGRA NORTH,BSP,3,Graduate Professional,40806253,2670741
1264,Gyanendra Kumar,MORADABAD NAGAR,IND,2,Graduate Professional,1273435,0
1265,Gyanendra Kumar Sharma,MEERUT,RLD,2,Doctorate,11660564,42560
1266,Gyanendra Singh,RAMPUR KHAS,SHS,0,12th Pass,3926000,0
1267,Gyanendra Srivastava,BANDA,IND,0,12th Pass,1369735,0
1268,Gyanwati,ZAIDPUR (SC),Bhartiya Krishak Dal,0,Illiterate,132000,0
1269,Habib Rahmat Siddiqui,LUCKNOW CANTT.,IND,0,Graduate Professional,857281,0
1270,Hafeez Bharti,RAM NAGAR,BSP,0,12th Pass,13228478,1000000
1271,Hajari Lal,MANIKPUR,Jan Adhikar Party,0,Post Graduate,1297237,0
1272,Haji Azeemul Haq Ansari (Pahalwan),TANDA,SP,0,10th Pass,25328525,0
1273,Haji Ikram Qureshi,MORADABAD RURAL,SP,2,8th Pass,8802145,0
1274,Haji Mohammad Yaqub,MEERUT SOUTH,BSP,4,8th Pass,76686715,159075
1275,Hakim Lal,HANDIA,BSP,0,Graduate,7044372,2839029
1276,Hanoman Prasad,MEHNAUN,IND,4,12th Pass,68000,0
1277,Hanskali,BAH,SP,0,Literate,5085000,0
1278,Hansraj,BARA (SC),IND,0,Graduate,3710500,0
1279,Hansraj,MEJA,RLD,0,12th Pass,511500,0
1280,Hansraj,KADIPUR (SC),IND,0,12th Pass,6153580,0
1281,Hansraj Yadav,ISAULI,IND,0,12th Pass,592000,0
1282,Hansram,FARRUKHABAD,IND,0,12th Pass,1205000,0
1283,Har Govind Bhargav,SIDHAULI (SC),BSP,1,Doctorate,75947726,7805410
1284,Har Govind Singh,BARABANKI,BJP,0,Graduate,102063801,13640483
1285,Har Swroop Mahaur,HATHRAS (SC),IND,0,12th Pass,1906512,825000
1286,Hardhyan,BEHAT,IND,0,5th Pass,2277500,0
1287,Harekrishan,BARHAJ,Samajwadi Samaj Party,0,Post Graduate,180000,0
1288,Harender Singh,BILASPUR,Labour Party of India (V.V. Prasad),0,8th Pass,5290000,0
1289,Harendra,SIWALKHAS,IND,0,Graduate,215000,0
1290,Harendra,ZAFRABAD,BJP,2,Graduate Professional,56397169,1519292
1291,Harendra Kumar,ETAWAH,Swatantra Jantaraj Party,0,8th Pass,90800,0
1292,Harendra Kumar,MARHARA,IND,0,12th Pass,315500,0
1293,Harendra Singh,ANUPSHAHR,IND,0,12th Pass,4605308,0
1294,Harendra Yadav,PHEPHANA,VANCHITSAMAJ INSAAF PARTY,1,12th Pass,1729567,0
1295,Hari Baksh,GAURIGANJ,IND,0,12th Pass,1464398,0
1296,Hari Karan,BALAMAU (SC),IND,0,8th Pass,1558000,0
1297,Hari Kishan,AGRA CANTT. (SC),IND,0,8th Pass,458000,0
1298,Hari Lal,SIRATHU,Parivartan Samaj Party,0,10th Pass,1936000,0
1299,Hari Om,AMETHI,IND,0,12th Pass,8386000,1500000
1300,Hari Prakash Arya,BISAULI (SC),Sanyukt Samajwadi Dal,0,Literate,14124,0
1301,Hari Prasad,JAHANABAD,Pragatisheel Manav Samaj Party,0,Post Graduate,5218113,0
1302,Hari Shankar,MAJHAWAN,Bahujan Mukti Party,0,8th Pass,2032516,0
1303,Hari Shankar Mahor,HATHRAS (SC),BJP,0,Post Graduate,33904957,3353050
1304,Hari Singh,BILARI,Bharatiya Subhash Sena,0,Literate,4519900,280000
1305,Hari Singh,GUNNAUR,AIFB,0,12th Pass,2578000,0
1306,Haridas,NIZAMABAD,IND,0,Not Given,3019000,0
1307,Haridwar Singh Yadav,SAKALDIHA,RLD,0,Post Graduate,18926000,0
1308,Harihar Prasad Pandey,GOPALPUR,Federal Democratic Party,0,12th Pass,3670000,270000
1309,Harihar Singh,CHAIL,Rashtriya Kisan Majdoor Party,0,12th Pass,21093466,0
1310,Harinam,MISRIKH (SC),IND,0,12th Pass,376200,0
1311,Harinarayan Singh Yadav,ZAMANIA,Rashtriya Parivartan Dal,0,12th Pass,1022915,0
1312,Harindra Singh Yadav,BADAUN,IND,0,Post Graduate,5073210,0
1313,Hariom,BABINA,IND,0,Literate,7891328,231000
1314,Hariom Sharma,MORADABAD RURAL,BJP,0,12th Pass,102102118,8830112
1315,Hariom Singh,AONLA,IND,0,Post Graduate,160500,0
1316,Hariom Yadav,SIRSAGANJ,SP,7,Graduate,55205913,1200000
1317,Hariram,BALRAMPUR (SC),Bharatiya Subhash Sena,1,Graduate,139000,0
1318,Hariram,DUDDHI (ST),Apna Dal (Soneylal),12,10th Pass,10624000,1600000
1319,Hariram Shakya,BHONGAON,Rashtriya Kranti Party,0,Post Graduate,1425838,6250
1320,Haris Mahaz Razavi,VARANASI SOUTH,Peace Party,0,Post Graduate,12344220,0
1321,Harish Chand,AGRA SOUTH,IND,0,Graduate,153500,0
1322,Harish Chandra,TILHAR,Bharatiya Subhash Sena,0,10th Pass,3671000,0
1323,Harish Chandra Vishwakarma,KAISERGANJ,Moulik Adhikar Party,0,12th Pass,2315500,0
1324,Harish Chandra Yadav,BILGRAM MALLANWAN,IND,0,12th Pass,42707,0
1325,Harish Kumar,DEBAI,SP,0,12th Pass,13380000,0
1326,Harishankar,MOHAMMDI,Rashtriya Janadhar Party,0,12th Pass,3318000,0
1327,Harishchand,ATRAULIYA,RLD,0,Graduate,4512000,0
1328,Harishchand,MARIYAHU,IND,0,8th Pass,694939,0
1329,Harishchandra,SISWA,RLD,0,Literate,354000,0
1330,Harishchandra,GAURIGANJ,Manavtawadi Samaj Party,0,Literate,50000,0
1331,Harishchandra,HARCHANDPUR,Bharat Kranti Rakshak Party,0,12th Pass,36600,0
1332,Harishchandra,BACHHRAWAN (SC),IND,0,Literate,121000,0
1333,Harishchandra Jaisawal Alias Harish Bhai,SISWA,CPI(ML)(L),0,Graduate,421000,0
1334,Harishyam,KATRA BAZAR,Rashtriya Krantikari Samajwadi Party,4,Literate,1890966,0
1335,Harivansh Mishra,MUBARAKPUR,SHS,0,10th Pass,1535000,500000
1336,Harkishor Singh,MORADABAD NAGAR,SUCI(C),0,Post Graduate,2907476,500000
1337,Harpal Singh,THAKURDWARA,RLD,0,Graduate,180000,0
1338,Harshvardhan Bajpai,ALLAHABAD NORTH,BJP,1,Graduate Professional,74228789,0
1339,Harswaroop,NOORPUR,IND,0,Literate,1051000,0
1340,Harun Ali,PATHARDEVA,Peace Party,0,Post Graduate,10122000,0
1341,Harvesh,ALIGANJ,IND,0,Graduate,198000,0
1342,Harvinder Kumar Sahani,PALIA,BJP,0,Graduate,145582676,44890200
1343,Hasain,GHOSI,IND,0,Literate,465000,0
1344,Hasan Agha Jafri,LUCKNOW NORTH,Manviya Bharat Party,0,Post Graduate,1310964,0
1345,Hasan Akhlaq,ALLAHABAD WEST,IND,1,Literate,5930000,0
1346,Hasan Imaam Abdi,LUCKNOW WEST,Rashtriya Shahri Vikas Party,0,Graduate Professional,86000,0
1347,Haseeb Ali,BABERU,CPI,0,10th Pass,528900,40000
1348,Haseen Khan,LUCKNOW CENTRAL,Nagrik Ekta Party,0,12th Pass,849000,0
1349,Hasina,KHADDA,IND,0,Graduate,25000,0
1350,Hasrat Ali,BITHARI CHAINPUR,Peace Party,0,10th Pass,2344533,0
1351,Hasrat Ullah Sherwani,KASGANJ,SP,1,12th Pass,63729264,1304600
1352,Haushila,GOPALPUR,Pichhravarg Mahapanchayat Party,0,Post Graduate,370000,0
1353,Havaldar,SHIVPUR,RLD,0,12th Pass,7293926,200000
1354,Hazi Irfan Solanki,SISHAMAU,SP,3,Others,31235274,0
1355,Heera Lal,KHAGA (SC),CPI,0,Graduate,5454100,47000
1356,Heera Lal,UTRAULA,IND,0,Illiterate,1350926,50000
1357,Heera Lal Shukla,SHAHJAHANPUR,IND,0,Graduate,30313655,0
1358,Hemant Kumar,MANJHANPUR (SC),SP,0,Post Graduate,4066311,0
1359,Hemant Kumar Singh,CHHARRA,IND,0,Post Graduate,12346202,0
1360,Hemendra,NAJIBABAD,Bharatiya Momin Front,0,Graduate,5768585,250000
1361,Hemlata,AYAH SHAH,IND,1,10th Pass,3394042,755222
1362,Hemlata Divakar,AGRA RURAL (SC),BJP,0,Graduate Professional,24718058,170000
1363,Hemlata Kushwaha,CHARKHARI,Jan Adhikar Manch,0,Post Graduate,19529706,3800000
1364,Hemlata Sharma,LUCKNOW NORTH,Param Digvijay Dal,0,Graduate,93000,0
1365,Hemraj Verma,BARKHERA,SP,1,Graduate,10259859,898092
1366,Heshamuddin,MAU,IND,0,Literate,1040000,0
1367,Hira Lal,MOHANLALGANJ (SC),IND,0,5th Pass,106690,0
1368,Hira Lal Singh Jayswal,SISHAMAU,Uttar Pradesh Republican Party,0,12th Pass,58000,0
1369,Horalal,AYAH SHAH,Bharat Kranti Rakshak Party,0,10th Pass,85500,0
1370,Hori Lal,SARENI,IND,0,Graduate Professional,787000,75000
1371,Hoshiyar Singh,ANUPSHAHR,RLD,1,12th Pass,11600952,674018
1372,Hosiyar Singh,MEERUT SOUTH,IND,0,8th Pass,2092000,0
1373,Hriday Narayan Dikshit,BHAGWANTNAGAR,BJP,0,Post Graduate,17385079,0
1374,Hukam Chand,CHHAPRAULI,Sarvjan Samta Party,0,Literate,7088,0
1375,Hukam Singh,GARHMUKTESHWAR,IND,0,10th Pass,5580000,0
1376,Hukam Singh,BULANDSHAHR,Rashtriya Janhit Sangharsh Party,0,12th Pass,3172000,200000
1377,Husain Ahmad,BARHAPUR,INC,2,Literate,5760000,400000
1378,Husain Mohammad Hadees,PRATAPPUR,Rashtriya Ulama Council,0,Graduate,900569,140813
1379,Ikram,SUAR,IND,0,Illiterate,211000,0
1380,Iliyas Chaudhary,ATRAULI,BSP,1,5th Pass,54320000,0
1381,Ilyas,CHANDPUR,IND,0,Literate,5325947,0
1382,Imamulla,NAUGAWAN SADAT,RPI(A),0,Literate,2511000,0
1383,Imaran,VARANASI SOUTH,VANCHITSAMAJ INSAAF PARTY,0,Post Graduate,2155000,0
1384,Imran,TILOI,IND,0,Graduate,4631650,0
1385,Imran Masood,NAKUR,INC,6,12th Pass,45048336,0
1386,Imrana,MEERAPUR,Akhil Bhartiya Vikas Congress Party,0,Literate,56000,0
1387,Imtiyaz Beg,GOPALPUR,CPI,0,Post Graduate,4274868,0
1388,Inder Sain,GANGOH,SP,0,Graduate,10776001,3129295
1389,Inder Singh Mehra,MILAK (SC),RLD,0,Post Graduate,36615000,0
1390,Indra Bahadur Singh Alis Pappu,TARABGANJ,BSP,4,Graduate,39003838,11461154
1391,Indra Kumar,BAHARAICH,Rashtriya Kisan Majdoor Party,0,10th Pass,95500,0
1392,Indra Pratap Alias Khabbu Tiwari,GOSHAINGANJ,BJP,7,12th Pass,1732000,442000
1393,Indradev Singh,BARHAPUR,IND,0,Post Graduate,13848648,400000
1394,Indrajeet,VISHWANATH GANJ,IND,0,8th Pass,86000,0
1395,Indrajeet,HASANPUR,Apna Desh Party,0,Literate,341600,0
1396,Indrajeet,BALHA (SC),IND,0,12th Pass,12000,0
1397,Indrajeet Kumar Singh,SHIVPUR,Sarv Sambhaav Party,0,Graduate,5275000,1600000
1398,Indrajeet Saroj,MANJHANPUR (SC),BSP,0,Graduate,80823337,12276546
1399,Indrakant Sharma,SHIVPUR,Rashtriya Vikas Manch Party,0,Graduate,111200,0
1400,Indrakar Mishra,PRATAPGARH,Samajwadi Janata Party (Rashtriya),0,Post Graduate,0,0
1401,Indrani Devi,BHINGA,SP,0,12th Pass,22073870,155000
1402,Indrapal,MANIKPUR,IND,0,10th Pass,1739187,60000
1403,Indrapal,SIDHAULI (SC),Rashtriya Krantikari Samajwadi Party,0,10th Pass,9377000,0
1404,Indrashah,OBRA (ST),IND,0,12th Pass,0,0
1405,Indresh Kumar,MARIYAHU,Bahujan Mukti Party,0,Graduate Professional,345000,0
1406,Indresh Kumar Sonkar,ALLAHABAD NORTH,IND,1,Post Graduate,503000,100000
1407,Indresh Singh,SAHAJANWA,IND,0,10th Pass,2426000,0
1408,Indu,NAKUR,IND,0,8th Pass,662000,0
1409,Indu Singh,CHHAPRAULI,Sarvodaya Bharat Party,0,Graduate Professional,22100000,0
1410,Iqbal Mahmood,SAMBHAL,SP,1,Graduate,51734976,0
1411,Iqtaidar Uddin,BAREILLY,RLD,0,Graduate Professional,2471176,950000
1412,Irfan,TANDA,All India Majlis-E-Ittehadul Muslimeen,6,Graduate,1374629,101789
1413,Irfan Ali,KUNDARKI,IND,0,8th Pass,1740000,0
1414,Irfan Khan,AGRA NORTH,VANCHITSAMAJ INSAAF PARTY,0,5th Pass,5000,0
1415,Ishrawati,GORAKHPUR RURAL,NCP,1,Literate,7677601,0
1416,Ishvar Chand,CHAURI-CHAURA,Nirbal Indian Shoshit Hamara Aam Dal,3,Graduate,163900000,0
1417,Ishwar Saran,GONDA,CPI,0,12th Pass,120000,0
1418,Israr,HUSAINGANJ,IND,0,5th Pass,280000,0
1419,Israr Ahmad,MAJHAWAN,IND,0,8th Pass,375400,0
1420,Israr Ahmad Nanku,GAURA,CPI,0,Others,2558000,0
1421,Israr Husain,KUNDARKI,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,1215000,0
1422,Jag Prasad,TILOI,Moulik Adhikar Party,0,Graduate,73000,0
1423,Jagadish Mishra Urf Balti Baba,TAMKUHI RAJ,BJP,0,Graduate,56630000,0
1424,Jagan Prasad Garg,AGRA NORTH,BJP,5,Graduate,167804565,114785000
1425,Jagannath,SANDILA,IND,0,10th Pass,2211313,0
1426,Jagapal,BUDHANA,IND,0,Literate,331000,79000
1427,Jagarnath,BHADOHI,CPI(M),0,Post Graduate,3326775,0
1428,Jagat,MARIYAHU,IND,3,10th Pass,5079000,0
1429,Jagat Singh,MILAK (SC),IND,0,Literate,30525,0
1430,Jagat Singh,CHANDPUR,IND,0,Others,530000,0
1431,Jagdamba Prasad,SAHIBABAD,CPI(M),1,10th Pass,2478000,0
1432,Jagdeesh,OBRA (ST),Nirbal Indian Shoshit Hamara Aam Dal,1,Literate,95000,0
1433,Jagdish,FAZILNAGAR,BSP,0,12th Pass,63600032,0
1434,Jagdish,DADRI,Rashtriya Kisan Vikas Party,0,10th Pass,383500,0
1435,Jagdish Prasad,RAE BARELI,IND,0,8th Pass,2917000,0
1436,Jagdish Prasad,TINDWARI,BSP,0,Graduate Professional,11465000,0
1437,Jagdish Prasad,COLONELGANJ,IND,0,12th Pass,6115990,500000
1438,Jagdish Prasad Gautam,CHITRAKOOT,BSP,0,Post Graduate,158967498,1303222
1439,Jagdish Rawat,MALIHABAD (SC),RLD,0,12th Pass,12106000,705000
1440,Jagdish Singh,NAGINA (SC),IND,0,Graduate Professional,7520284,50370
1441,Jagdish Singh,MANT,INC,2,Graduate,65561000,7259000
1442,Jagdish Singh,JALALPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,8th Pass,4651359,0
1443,Jagdish Sonkar,MACHHLISHAHR (SC),SP,0,Graduate,51892849,1921143
1444,Jagdishwar,JAHANABAD,IND,0,Post Graduate,916000,0
1445,Jagdutt,JAGDISHPUR (SC),BSP,0,12th Pass,66800235,12408394
1446,Jagjivan,SAWAYAZPUR,IND,0,8th Pass,2574000,0
1447,Jagmal,ANUPSHAHR,Lok Dal,0,12th Pass,132142000,20000000
1448,Jagpal,JALALABAD,Rashtravadi Janata Party,0,5th Pass,127000,0
1449,Jagpal,HARGAON (SC),Bharatiya Subhash Sena,0,Literate,455000,0
1450,Jagpal,BHOJPUR,IND,0,Post Graduate,75000,0
1451,Jagpal Singh,SAHARANPUR,BSP,0,12th Pass,21126970,400000
1452,Jagpal Singh Yadav,JASWANTNAGAR,RLD,0,Graduate,23813661,400000
1453,Jagpat Lal,GAURIGANJ,IND,0,10th Pass,2796000,120000
1454,Jagram,RAMPUR KHAS,Akhand Rashtrawadi Party,0,Post Graduate,5642613,0
1455,Jagram Singh,DHANAURA (SC),SP,1,Graduate,8520501,0
1456,Jagram Singh,BHOGNIPUR,IND,0,Graduate,3072389,135000
1457,Jagroop Bhaskar,BABERU,Ambedkar Samaj Party,0,8th Pass,8363500,0
1458,Jagtamba Singh,CHUNAR,SP,0,Post Graduate,4825595,0
1459,Jagveer,BISAULI (SC),Prajashakti Party Samdarshi,0,8th Pass,1007099,0
1460,Jagvir Singh,SYANA,CPI(M),0,Post Graduate,20964500,1900000
1461,Jahangir Khan Alvi,FIROZABAD,Peace Party,0,Post Graduate,9902672,4250000
1462,Jai Devi,MALIHABAD (SC),BJP,0,Illiterate,45965214,0
1463,Jai Jai Ram,NIZAMABAD,Pichhravarg Mahapanchayat Party,0,Graduate Professional,13293653,52260
1464,Jai Kumar Singh Jaiki,JAHANABAD,Apna Dal (Soneylal),0,Graduate,51800872,21001267
1465,Jai Mangal,MAHARAJGANJ (SC),BJP,1,8th Pass,11185128,412488
1466,Jai Narayan,BADLAPUR,SUCI(C),0,12th Pass,3835000,0
1467,Jai Prakash,BARHAJ,CPI,0,Post Graduate,1543833,555621
1468,Jai Prakash,RUDRAPUR,BJP,0,Graduate,10989731,520933
1469,Jai Prakash,DEORIA,SP,1,Graduate,116501454,7500000
1470,Jai Prakash,CHAURI-CHAURA,BSP,0,Graduate,30976941,5307731
1471,Jai Prakash,BARHAJ,Bhartiya Shakti Chetna Party,0,12th Pass,254500,0
1472,Jai Prakash,MACHHLISHAHR (SC),IND,0,10th Pass,445000,0
1473,Jai Prakash Maurya,LAMBHUA,SUCI(C),0,Post Graduate,5991114,0
1474,Jai Prakash Mishra,KARACHHANA,RPI,0,Graduate,472707,0
1475,Jai Prakash Pal,CHHARRA,Jan Adhikar Manch,0,Graduate,6703000,0
1476,Jai Prakash Saxena,BAREILLY CANTT.,Pragatisheel Lok Manch,0,8th Pass,877000,140000
1477,Jai Prakash Singh,SHIKARPUR,Rashtriya Kisan Majdoor Party,0,Post Graduate,3214038,0
1478,Jai Prakash Upadhyay,RUDHAULI,IND,0,Graduate Professional,497344,240000
1479,Jai Pratap Singh,BANSI,BJP,0,Graduate,71864814,0
1480,Jai Ram Panday,ZAHOORABAD,AIFB,0,Graduate,544100,0
1481,Jai Ram Sonkar,NIZAMABAD,IND,0,8th Pass,200000,0
1482,Jaichand,MENHDAWAL,SP,0,10th Pass,18551800,850000
1483,Jaidev,NAUGAWAN SADAT,BSP,0,8th Pass,45449200,1400149
1484,Jaidrath Urf Prabaktanand,BARKHERA,RLD,1,12th Pass,316000,0
1485,Jaigobind,MOHAMMADABAD,IND,0,12th Pass,6857334,0
1486,Jainul Aabidien,SAHARANPUR NAGAR,Proutist Bloc India,0,Graduate Professional,452034,0
1487,Jaipal Singh,BARHAPUR,IND,0,Literate,45000,0
1488,Jaipal Singh Saini,CHARTHAWAL,Jansatta Party,0,10th Pass,2560000,0
1489,Jaiprakash,MAURANIPUR (SC),Jan Adhikar Party,0,Graduate Professional,10987936,1460000
1490,Jairam,SAGRI,SP,0,Graduate Professional,7501010,0
1491,Jairam,BANSDIH,IND,0,10th Pass,84000,0
1492,Jaishankar Pandey,KATEHARI,SP,1,Graduate Professional,9542549,185511
1493,Jaiveer Singh,SIRSAGANJ,BJP,0,12th Pass,133263581,40000
1494,Jakir,ASMOLI,IND,0,Graduate,21238287,200000
1495,Jakir Husen,ASMOLI,IND,0,Graduate,8424000,150000
1496,Jal Devi,KHERAGARH,IND,0,Illiterate,10000,0
1497,Jalaluddin,BHOJPUR,IND,0,5th Pass,2096000,0
1498,Jalaluddin,SAHIBABAD,BSP,2,Literate,204714417,0
1499,Jamal Alam,HAMIRPUR,VANCHITSAMAJ INSAAF PARTY,0,Post Graduate,151854,0
1500,Jamaluddin,GYANPUR,RASHTRIYA VIKLANG PARTY,0,8th Pass,45000,0
1501,Jamased Aalam Beg,HATA,Rashtriya Janadhar Party,0,12th Pass,136000,0
1502,Jameel,BUDHANA,National Lokmat Party,0,8th Pass,470000,0
1503,Jameel Ahmad,NAJIBABAD,BSP,2,Literate,3586000,350000
1504,Jameer Ahmad,BAHERI,Jan Shakti Ekta Party,0,8th Pass,3160000,300000
1505,Jamshed,MUZAFFAR NAGAR,IND,0,Post Graduate,8202474,70000
1506,Jamuna Prasad,SORAON (SC),Apna Dal (Soneylal),0,Post Graduate,13079218,1482616
1507,Jan Alam,BISWAN,IND,0,12th Pass,120000,0
1508,Jan Mohammad,KITHORE,IND,0,Illiterate,5339000,0
1509,Janak Kumar,MOHAMMADABAD,INC,0,Post Graduate,773263,0
1510,Janardan,PANIYRA,IND,0,8th Pass,1600828,0
1511,Janardan,MEJA,Lok Gathbandhan Party,1,Post Graduate,3844778,9800
1512,Janardan Choudhari,GORAKHPUR URBAN,BSP,1,12th Pass,26706206,0
1513,Janardan Dutt,FARRUKHABAD,Poorna Swaraj Manch,0,Graduate Professional,5275000,0
1514,Janardan Prasad Prajapati,BAIRIA,IND,0,Not Given,21000,0
1515,Janardan Sharma,KHATAULI,Hindustan Utthan Party,0,Post Graduate,2756641,612000
1516,Janki Sharan,KUNDA,BJP,0,Graduate Professional,36626796,2136681
1517,Janmejai Singh,DEORIA,BJP,0,10th Pass,100254114,4893289
1518,Jashwant,DIDARGANJ,Mahakranti Dal,0,12th Pass,4650000,0
1519,Jasram Singh,KALPI,IND,0,12th Pass,92000,0
1520,Jaswant,PINDRA,RPI,0,8th Pass,18600,0
1521,Jaswant Singh,TILOI,IND,0,12th Pass,840527,32112
1522,Jatashanker Tripathi,KHADDA,BJP,0,Post Graduate,6865670,0
1523,Javahar,BAIRIA,BSP,0,Post Graduate,8196568,2139615
1524,Javahar Lal Divakar,SORAON (SC),INC,0,Literate,3604945,268926
1525,Javed Abbas,NAUGAWAN SADAT,SP,0,Post Graduate,39272000,0
1526,Javed Ahmad,KHALILABAD,SP,0,10th Pass,8022101,703006
1527,Javed Iqbal,PADRAUNA,BSP,1,12th Pass,86900953,0
1528,Javed Khan,NOIDA,Sarv Sambhaav Party,0,12th Pass,867000,0
1529,Javed Rao,THANA BHAWAN,RLD,0,Literate,57542000,348000
1530,Jawahar Lal,BANSI,Bahujan Mukti Party,0,8th Pass,611465,50000
1531,Jawahar Lal,PHULPUR,NCP,0,12th Pass,315500,0
1532,Jawahar Lal Rajpoot,GARAUTHA,BJP,1,Graduate Professional,12016878,771050
1533,Jawahar Lal Yadav,FAZILNAGAR,RLD,1,Not Given,806000,0
1534,Jawahir Prasad,BANSDIH,IND,0,12th Pass,909923,300000
1535,Jay Prakash,SEVAPURI,Rashtriya Samaj Paksha,0,Post Graduate,1048000,0
1536,Jay Prakash,ZAFRABAD,CPI,0,Graduate Professional,1195437,0
1537,Jay Prakash Anchal,BAIRIA,SP,0,Post Graduate,16605825,1000000
1538,Jay Ram,BHADOHI,Lok Dal,0,12th Pass,3337872,0
1539,Jay Shree,JALALABAD,Lok Dal,0,5th Pass,3687000,0
1540,Jay Singh Alyas Manavtavadi,LUCKNOW WEST,IND,0,Post Graduate,1712786,0
1541,Jayaram Bansal,NOIDA,SHS,0,8th Pass,8900000,0
1542,Jaykaran,MANJHANPUR (SC),Bahujan Mukti Party,0,Graduate,3222000,0
1543,Jaykumar,JASRANA,Jan Adhikar Manch,0,10th Pass,3260650,0
1544,Jaynath,RAM NAGAR,Manavtawadi Samaj Party,0,Literate,540000,0
1545,Jaynath,BHATPAR RANI,BJP,0,Post Graduate,13798973,0
1546,Jaypal,JALESAR (SC),IND,0,10th Pass,2066000,0
1547,Jayveer,FARRUKHABAD,RPI,0,8th Pass,2760000,0
1548,Jayveer Singh,KATRA,Rashtriya Janadhar Party,0,12th Pass,2815000,330000
1549,Jetvan Pratap,SIRATHU,Bhartiya Krishak Dal,0,Post Graduate,1000000,0
1550,Jimidar,SAROJINI NAGAR,IND,0,Literate,36553,0
1551,Jitendar,PHARENDA,SHS,0,12th Pass,617000,0
1552,Jitendra,KERAKAT (SC),Pragatisheel Manav Samaj Party,0,Post Graduate,182300,0
1553,Jitendra,NIZAMABAD,CPI,0,Post Graduate,1011449,23213
1554,Jitendra,BHATPAR RANI,IND,0,12th Pass,10000000,0
1555,Jitendra,MEHRONI (SC),IND,0,8th Pass,90100,0
1556,Jitendra Kumar,TUNDLA (SC),Bahujan Mukti Party,0,Illiterate,110000,0
