Constituency,Candidate,Party,Votes
Goa - Poriem,VISHWAJIT KRISHNARAO RANE,Bharatiya Janata Party,10911
Goa - Poriem,SUHAS GAJANAN NAIK,Maharashtrawadi Gomantak,469
Goa - Poriem,SITARAM ANANT GAWAS,Aam Aadmi Party,403
Goa - Poriem,AJIT SADANAND MHALSHEKAR,Independent,284
Goa - Poriem,None of the Above,None of the Above,552
Goa - Valpoi,VISHWAJIT PRATAPSINGH RANE,Indian National Congress,13493
Goa - Valpoi,SATYAVIJAY SUBRAI NAIK,Bharatiya Janata Party,7815
Goa - Valpoi,VIJAY ATMARAM GAONKAR,Maharashtrawadi Gomantak,3246
Goa - Valpoi,ASHISH V. KANEKAR,Aam Aadmi Party,410
Goa - Valpoi,None of the Above,None of the Above,362
Goa - Priol,GOVIND GAUDE,Independent,15149
Goa - Priol,PANDURANG ALIAS DEEPAK MADHAV DHAVALIKAR,Maharashtrawadi Gomantak,10463
Goa - Priol,DR. DATTARAM B. DESSAI,Aam Aadmi Party,456
Goa - Priol,RAMKRISHNA B. JALMI,Indian National Congress,429
Goa - Priol,None of the Above,None of the Above,448
Goa - Ponda,RAVI SITARAM NAIK,Indian National Congress,9502
Goa - Ponda,SUNIL DESAI,Bharatiya Janata Party,6492
Goa - Ponda,RAJESH VEREKAR,Independent,4529
Goa - Ponda,LAVOO MAMLEDAR,Maharashtrawadi Gomantak,3796
Goa - Ponda,MULLA MANSUR MUZAWAR,Aam Aadmi Party,522
Goa - Ponda,None of the Above,None of the Above,254
Goa - Siroda,SUBHASH ANKUSH SHIRODKAR,Indian National Congress,11156
Goa - Siroda,MAHADEV NARAYAN NAIK,Bharatiya Janata Party,6286
Goa - Siroda,ABHAY RAMCHANDRA PRABHU,Maharashtrawadi Gomantak,5815
Goa - Siroda,MOLU ANAND VELIP,Aam Aadmi Party,586
Goa - Siroda,NILESH GOVIND GAONKAR,Independent,447
Goa - Siroda,DIYA CHANDRAKANT SHETKAR,Independent,140
Goa - Siroda,None of the Above,None of the Above,194
Goa - Marcaim,RAMKRISHNA ALIAS SUDIN DHAVALIKAR,Maharashtrawadi Gomantak,17093
Goa - Marcaim,PRADEEP PUNDALIK SHET,Bharatiya Janata Party,3413
Goa - Marcaim,URMILA ALIAS VINDIKSHA VINOD NAIK,Indian National Congress,1259
Goa - Marcaim,SUREL DATTA TILVE,Aam Aadmi Party,971
Goa - Marcaim,HANUMANT VASANT NAIK,Independent,244
Goa - Marcaim,None of the Above,None of the Above,376
Goa - Mormugao,MILIND SAGUN NAIK,Bharatiya Janata Party,8466
Goa - Mormugao,SANKALP AMONKAR,Indian National Congress,8326
Goa - Mormugao,GIOVANNI KARL VAZ,Aam Aadmi Party,267
Goa - Mormugao,SANJAY NAIK,Shivsena,51
Goa - Mormugao,PARASHURAM UMAJI SONURLEKAR,Independent,48
Goa - Mormugao,MARIA LIBERATA MENDONCA,Independent,31
Goa - Mormugao,None of the Above,None of the Above,151
Goa - Vasco-da-gama,JOSE LUIS CARLOS ALMEIDA,Bharatiya Janata Party,8765
Goa - Vasco-da-gama,KRISHNA (DAJI) V SALKAR,Independent,7414
Goa - Vasco-da-gama,JOSE FILIPE DE SOUSA,Nationalist Congress Party,4202
Goa - Vasco-da-gama,SAIFULA KHAN,Indian National Congress,3737
Goa - Vasco-da-gama,LORETTA SHREEDHARAN,Aam Aadmi Party,928
Goa - Vasco-da-gama,MANESH CHANDRAKANT AROLKAR,Maharashtrawadi Gomantak,654
Goa - Vasco-da-gama,GANDHI HENRIQUES,Independent,77
Goa - Vasco-da-gama,CHANDRASHEKHER VAST,Niz Goenkar Revolution Front,59
Goa - Vasco-da-gama,None of the Above,None of the Above,263
Goa - Dabolim,MAUVIN HELIODORO GODINHO,Bharatiya Janata Party,7234
Goa - Dabolim,PREMANAND NANOSKAR,Maharashtrawadi Gomantak,4740
Goa - Dabolim,FRANCISCO JOSE NUNES,Indian National Congress,2752
Goa - Dabolim,VASANT (GOPI) NAIK,Aam Aadmi Party,1117
Goa - Dabolim,KRITESH NAIK GAUNKAR,Nationalist Congress Party,1043
Goa - Dabolim,KENNETH IAN STEWART SILVEIRA,Independent,130
Goa - Dabolim,TARA GOVIND KERKAR,Independent,124
Goa - Dabolim,PREETAM KELUSKAR,Independent,109
Goa - Dabolim,SURESH BARVE,Niz Goenkar Revolution Front,56
Goa - Dabolim,None of the Above,None of the Above,168
Goa - Cortalim,ALINA SALDANHA,Bharatiya Janata Party,5666
Goa - Cortalim,ANTONIO VAS,Independent,5148
Goa - Cortalim,GILBERT MARIANO RODRIGUES,Indian National Congress,4326
Goa - Cortalim,NELLY RODRIGUES,Goa Vikas Party,3380
Goa - Cortalim,OLENCIO SIMOES,Aam Aadmi Party,2482
Goa - Cortalim,RAMAKANT BORKAR,United Goans Party,1708
Goa - Cortalim,SHARAN METI,Goa Su-Raj Party,258
Goa - Cortalim,MIGUEL ANTONIO RODRIGUES,Independent,177
Goa - Cortalim,SUMAN SHARMA,Maharashtrawadi Gomantak,75
Goa - Cortalim,GILROY COSTA,Goa Praja Party,56
Goa - Cortalim,None of the Above,None of the Above,210
Goa - Nuvem,WILFRED D'SA,Indian National Congress,9967
Goa - Nuvem,FRANCISCO XAVIER PACHECO,Goa Su-Raj Party,4307
Goa - Nuvem,MARIANO GODINHO,Aam Aadmi Party,3389
Goa - Nuvem,VINCENT RODRIGUES,Nationalist Congress Party,2880
Goa - Nuvem,DINESH BANDODKAR,Independent,664
Goa - Nuvem,None of the Above,None of the Above,240
Goa - Curtorim,ALEIXO REGINALDO LOURENCO,Indian National Congress,12841
Goa - Curtorim,ARTHUR D‰ÛªSILVA,Bharatiya Janata Party,5144
Goa - Curtorim,EDWIN DOMNIC VAZ,Aam Aadmi Party,2711
Goa - Curtorim,CONCEICAO DIAS,Maharashtrawadi Gomantak,240
Goa - Curtorim,JOSE PAULO FERNANDES,Independent,118
Goa - Curtorim,None of the Above,None of the Above,249
Goa - Fatorda,VIJAI SARDESAI,Goa Forward Party,10516
Goa - Fatorda,DAMU G. NAIK,Bharatiya Janata Party,9182
Goa - Fatorda,RANJIT COTTA CARVALHO,Aam Aadmi Party,1479
Goa - Fatorda,JOSE D'SILVA,Indian National Congress,1414
Goa - Fatorda,D. S. NAIK (DILIP),Maharashtrawadi Gomantak,155
Goa - Fatorda,AVIN VISHWANATH NAIK,Independent,72
Goa - Fatorda,None of the Above,None of the Above,220
Goa - Margao,DIGAMBAR VASANT KAMAT,Indian National Congress,12105
Goa - Margao,SHARMAD RAITURKAR,Bharatiya Janata Party,7929
Goa - Margao,SANTOSH RAITURKAR,Aam Aadmi Party,1832
Goa - Margao,JAYESH RAGHUNATH NAIK,Maharashtrawadi Gomantak,216
Goa - Margao,None of the Above,None of the Above,271
Goa - Benaulim,CHURCHILL ALEMAO,Nationalist Congress Party,9373
Goa - Benaulim,ROYLA CLARINA FERNANDES,Aam Aadmi Party,4182
Goa - Benaulim,CAETANO ROSARIO SILVA,Independent,3995
Goa - Benaulim,EDWINO BARRETO,Indian National Congress,2157
Goa - Benaulim,JOHN FERNANDES,Goa Su-Raj Party,571
Goa - Benaulim,MARIA DA LUZ ARLINDA GOMES E REBELO,Goa Vikas Party,492
Goa - Benaulim,JUDITH AURELIA BAPTISTA ALMEIDA ALIAS JUDITH ALMEIDA,Independent,357
Goa - Benaulim,None of the Above,None of the Above,187
Goa - Navelim,LUIZINHO FALEIRO,Indian National Congress,8183
Goa - Navelim,AVERTANO FURTADO,Independent,5705
Goa - Navelim,EDWIN CARDOZO (CIPRU),Independent,3027
Goa - Navelim,SATYAVIAJAY NAIK,Maharashtrawadi Gomantak,1798
Goa - Navelim,SIDDHARTH KARAPURKAR,Aam Aadmi Party,1287
Goa - Navelim,CRUZ ANTONIO JORGE BARRETTO,Goa Vikas Party,839
Goa - Navelim,DUARTE PIRES,Independent,263
Goa - Navelim,None of the Above,None of the Above,249
Goa - Cuncolim,CLAFASIO DIAS,Indian National Congress,6415
Goa - Cuncolim,JOAQUIM ALEMAO,Independent,6382
Goa - Cuncolim,SUBHASH ALIAS RAJAN K. NAIK,Bharatiya Janata Party,5047
Goa - Cuncolim,ELVIS GOMES,Aam Aadmi Party,3437
Goa - Cuncolim,JOHN INACIO MONTEIRO,Goa Vikas Party,488
Goa - Cuncolim,DEVENDRA DESSAI,Shivsena,313
Goa - Cuncolim,DERICK DIAS,Independent,111
Goa - Cuncolim,None of the Above,None of the Above,247
Goa - Velim,FILIPE NERY RODRIGUES,Indian National Congress,10417
Goa - Velim,BENJAMIN SILVA,Independent,5164
Goa - Velim,CRUZ SILVA,Aam Aadmi Party,3423
Goa - Velim,VINAY TARI,Bharatiya Janata Party,1765
Goa - Velim,ANTHONY RODRIGUES,Goa Forward Party,1460
Goa - Velim,EDRICH CORREIA,Independent,335
Goa - Velim,JOSE FERNANDES,Independent,236
Goa - Velim,DOMNIC JOHN NORONHA,Goa Su-Raj Party,138
Goa - Velim,FREDERICK BORGES,Nationalist Congress Party,108
Goa - Velim,WILSON MAZARELLO,Independent,98
Goa - Velim,CONSTANCIO FERNANDES,Independent,79
Goa - Velim,CLIFFTON D'SOUZA,Ambedkarite Party of India,44
Goa - Velim,None of the Above,None of the Above,260
Goa - Quepem,CHANDRAKANT (BABU) KAVLEKAR,Indian National Congress,13525
Goa - Quepem,PRAKASH SHANKAR VELIP,Bharatiya Janata Party,10933
Goa - Quepem,JOAO FERNANDES,Aam Aadmi Party,1385
Goa - Quepem,CHARLES D'SILVA,Goa Su-Raj Party,251
Goa - Quepem,SUDESH GAUDE,Maharashtrawadi Gomantak,211
Goa - Quepem,None of the Above,None of the Above,357
Goa - Curchorem,NILESH CABRAL,Bharatiya Janata Party,12830
Goa - Curchorem,SHYAM GOPINATH SATARDEKAR,Goa Suraksha Manch,3742
Goa - Curchorem,ROSARIO MARIANO FERNANDES,Indian National Congress,2778
Goa - Curchorem,JAMES FERNANDES,Aam Aadmi Party,2028
Goa - Curchorem,None of the Above,None of the Above,290
Goa - Sanvordem,DEEPAK PRABHU PAUSKAR,Maharashtrawadi Gomantak,14575
Goa - Sanvordem,GANESH CHANDRU GAONKAR,Bharatiya Janata Party,9354
Goa - Sanvordem,SHANKAR KIRLAPALKAR,Indian National Congress,991
Goa - Sanvordem,BALKRISHNA MARATHE,Independent,152
Goa - Sanvordem,None of the Above,None of the Above,305
Goa - Sanguem,PRASAD S. GAONKAR,Independent,7636
Goa - Sanguem,SUBHASH PHAL DESSAI,Bharatiya Janata Party,6699
Goa - Sanguem,SAVITRI KAVLEKAR,Indian National Congress,5736
Goa - Sanguem,DATTAPRASAD SAWARDEKAR,Independent,989
Goa - Sanguem,RAVINDRA ARJUN VELIP,Aam Aadmi Party,658
Goa - Sanguem,VASUDEV GAONKAR,Maharashtrawadi Gomantak,484
Goa - Sanguem,SUDESH NONI GAUNKAR,Independent,148
Goa - Sanguem,RAKHI NAIK,Nationalist Congress Party,125
Goa - Sanguem,None of the Above,None of the Above,208
Goa - Canacona,ISIDORE ALEIXINHO FERNANDES,Indian National Congress,10853
Goa - Canacona,VIJAY PAI KHOT,Bharatiya Janata Party,8745
Goa - Canacona,RAMESH TAWADKAR,Independent,7739
Goa - Canacona,SANDESH TELEKAR,Aam Aadmi Party,452
Goa - Canacona,GOURISH BANDEKAR,Maharashtrawadi Gomantak,398
Goa - Canacona,None of the Above,None of the Above,302
Uttar Pradesh - Behat,NARESH SAINI,Indian National Congress,97035
Uttar Pradesh - Behat,MAHAVEER SINGH RANA,Bharatiya Janata Party,71449
Uttar Pradesh - Behat,MOHD. IQBAL,Bahujan Samaj Party,71019
Uttar Pradesh - Behat,RANA ADITYA PRATAP SINGH,Independent,4187
Uttar Pradesh - Behat,KAMRAN ALI,Bharti Samudaya Party,1255
Uttar Pradesh - Behat,ARUN,Rashtriya Lok Dal,1150
Uttar Pradesh - Behat,HARDHYAN,Independent,1113
Uttar Pradesh - Behat,GOPAL SINGH,Independent,945
Uttar Pradesh - Behat,KRISHNA KUMAR,Independent,810
Uttar Pradesh - Behat,KALYAN SINGH,Independent,659
Uttar Pradesh - Behat,LOKESH VERMA,Bhartiya Tarak Samaj Party,617
Uttar Pradesh - Behat,SAKEEM KHAN,Bahujan Mukti Party,425
Uttar Pradesh - Behat,KARM SINGH,Independent,319
Uttar Pradesh - Behat,None of the Above,None of the Above,1576
Uttar Pradesh - Nakur,DR.DHARAM SINGH SAINI,Bharatiya Janata Party,94375
Uttar Pradesh - Nakur,IMRAN MASOOD,Indian National Congress,90318
Uttar Pradesh - Nakur,NAVEEN CHOUDHARY,Bahujan Samaj Party,65328
Uttar Pradesh - Nakur,KAMAL GARG,Independent,944
Uttar Pradesh - Nakur,VIJAYPAL SINGH,Independent,814
Uttar Pradesh - Nakur,RAJPAL SINGH,Independent,813
Uttar Pradesh - Nakur,RAMKUMAR,Rashtriya Lok Dal,783
Uttar Pradesh - Nakur,PARVESH KUMAR,Ambedkar Samaj Party,295
Uttar Pradesh - Nakur,RAJIV SAINI,Bahujan Mukti Party,245
Uttar Pradesh - Nakur,INDU,Independent,245
Uttar Pradesh - Nakur,ARVIND,Independent,140
Uttar Pradesh - Nakur,None of the Above,None of the Above,1232
Uttar Pradesh - Saharanpur Nagar,SANJAY GARG,Samajwadi Party,127210
Uttar Pradesh - Saharanpur Nagar,RAJIV GUMBER,Bharatiya Janata Party,122574
Uttar Pradesh - Saharanpur Nagar,MUKESH DIXIT,Bahujan Samaj Party,17350
Uttar Pradesh - Saharanpur Nagar,BHOORA MALIK,Rashtriya Lok Dal,934
Uttar Pradesh - Saharanpur Nagar,TALAT KHAN,All India Majlis-E-Ittehadul Muslimeen,693
Uttar Pradesh - Saharanpur Nagar,SHABNAM,Independent,594
Uttar Pradesh - Saharanpur Nagar,ZAINUL AABIDEEN SIDDIQUI,"Proutist Bloc, India",494
Uttar Pradesh - Saharanpur Nagar,ROSHAN SINGH,Independent,409
Uttar Pradesh - Saharanpur Nagar,BHARAT RAJ,Bahujan Mukti Party,386
Uttar Pradesh - Saharanpur Nagar,SHIV KUMAR GUPTA,Independent,286
Uttar Pradesh - Saharanpur Nagar,SHIV KUMAR,Swatantra Jantaraj Party,265
Uttar Pradesh - Saharanpur Nagar,VINAY DHIMAN,Ojaswi Party,255
Uttar Pradesh - Saharanpur Nagar,RAVINDER ARORA,Shivsena,223
Uttar Pradesh - Saharanpur Nagar,MOHD.MURSLEEN,Independent,161
Uttar Pradesh - Saharanpur Nagar,None of the Above,None of the Above,675
Uttar Pradesh - Saharanpur,MASOOD AKHTAR,Indian National Congress,87689
Uttar Pradesh - Saharanpur,JAGPAL SINGH,Bahujan Samaj Party,75365
Uttar Pradesh - Saharanpur,MANOJ CHAUDHARY,Bharatiya Janata Party,58752
Uttar Pradesh - Saharanpur,SAAD ALI KHAN,Independent,10950
Uttar Pradesh - Saharanpur,AYYUB HASAN,Rashtriya Lok Dal,822
Uttar Pradesh - Saharanpur,AMJAD ALI,Lok Dal,774
Uttar Pradesh - Saharanpur,SHABNOOR BEGUM,Independent,596
Uttar Pradesh - Saharanpur,VIKRAM SAINI,Independent,399
Uttar Pradesh - Saharanpur,PARVESH KUMAR,Independent,376
Uttar Pradesh - Saharanpur,SULEMAN,Bahujan Mukti Party,256
Uttar Pradesh - Saharanpur,SACHIN KUMAR,Bhartiya Tarak Samaj Party,220
Uttar Pradesh - Saharanpur,BABLU,Ambedkar Samaj Party,155
Uttar Pradesh - Saharanpur,NAUSHAD,Jan Adhikar Party,146
Uttar Pradesh - Saharanpur,None of the Above,None of the Above,968
Uttar Pradesh - Deoband,BRIJESH,Bharatiya Janata Party,102244
Uttar Pradesh - Deoband,MAJID ALI,Bahujan Samaj Party,72844
Uttar Pradesh - Deoband,MAVIA ALI,Samajwadi Party,55385
Uttar Pradesh - Deoband,BHUPESHWAR TYAGI,Rashtriya Lok Dal,1132
Uttar Pradesh - Deoband,DHARMAVIR,Bahujan Mukti Party,651
Uttar Pradesh - Deoband,RAKESH VERMA,Bhartiya Tarak Samaj Party,598
Uttar Pradesh - Deoband,UMAR NAWAZ,Independent,415
Uttar Pradesh - Deoband,ZAHIR FATMA,Independent,239
Uttar Pradesh - Deoband,None of the Above,None of the Above,798
Uttar Pradesh - Rampur Maniharan,DEVENDER KUMAR NIM,Bharatiya Janata Party,76465
Uttar Pradesh - Rampur Maniharan,RAVINDRA KUMAR MOLHU,Bahujan Samaj Party,75870
Uttar Pradesh - Rampur Maniharan,VISHVA DAYAL CHHOTAN,Indian National Congress,61787
Uttar Pradesh - Rampur Maniharan,DAYAWATI CHAUDHRY,Rashtriya Lok Dal,696
Uttar Pradesh - Rampur Maniharan,BIJENDRA,Independent,689
Uttar Pradesh - Rampur Maniharan,REKHA,Independent,579
Uttar Pradesh - Rampur Maniharan,ARVIND JHANJHOT,Rashtriya Garib Dal,523
Uttar Pradesh - Rampur Maniharan,SURESH KUMAR,Bahujan Mukti Party,475
Uttar Pradesh - Rampur Maniharan,ANJU BALA,Bhartiya Tarak Samaj Party,391
Uttar Pradesh - Rampur Maniharan,BABY,KIsan Shakti Jantantrik Party,256
Uttar Pradesh - Rampur Maniharan,KM.LATA,Inqalab Vikas Dal,244
Uttar Pradesh - Rampur Maniharan,None of the Above,None of the Above,856
Uttar Pradesh - Gangoh,PRADEEP KUMAR,Bharatiya Janata Party,99446
Uttar Pradesh - Gangoh,NAUMAN MASOOD,Indian National Congress,61418
Uttar Pradesh - Gangoh,INDER SAIN,Samajwadi Party,47219
Uttar Pradesh - Gangoh,MAHIPAL SINGH MAJRA,Bahujan Samaj Party,44717
Uttar Pradesh - Gangoh,RAJNESH CHAUHAN,Rashtriya Lok Dal,1054
Uttar Pradesh - Gangoh,YATENDERA,Independent,609
Uttar Pradesh - Gangoh,SATNAM SINGH,Sarv Sambhaav Party,579
Uttar Pradesh - Gangoh,KAWAR PAL,Independent,526
Uttar Pradesh - Gangoh,VIKAS KUMAR,Independent,475
Uttar Pradesh - Gangoh,SONU VERMA,Bhartiya Tarak Samaj Party,364
Uttar Pradesh - Gangoh,None of the Above,None of the Above,971
Uttar Pradesh - Kairana,NAHID HASAN,Samajwadi Party,98830
Uttar Pradesh - Kairana,MRIGANKA SINGH,Bharatiya Janata Party,77668
Uttar Pradesh - Kairana,ANIL KUMAR,Rashtriya Lok Dal,19992
